City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,55.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
5,Hermanus,ZA,64.99,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Airai,TL,59.4,scattered clouds,-8.9266,125.4092,Juvinal Martin
16,Sayyan,YE,60.62,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
20,New Norfolk,AU,60.8,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
21,Zhezkazgan,KZ,50.97,overcast clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
23,Hobart,AU,60.8,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
34,Port Alfred,ZA,66.31,overcast clouds,-33.5906,26.891,The Halyards Hotel
36,Waterloo,CA,66.0,clear sky,43.4668,-80.5164,Comfort Inn
38,Busselton,AU,60.01,overcast clouds,-33.65,115.3333,Observatory Guest House
41,Albany,US,66.99,scattered clouds,42.6001,-73.9662,
42,Kahului,US,69.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
49,Fortuna,US,51.01,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
50,San Jeronimo,PE,60.49,light rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
61,East London,ZA,64.4,scattered clouds,-33.0153,27.9116,Tu Casa
63,Hasaki,JP,52.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
72,Cape Town,ZA,66.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
79,Havre-Saint-Pierre,CA,53.6,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
84,Saint George,US,68.0,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
93,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
99,Hilo,US,66.2,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Bredasdorp,ZA,59.0,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
103,Yeppoon,AU,69.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
104,Lebu,CL,61.38,clear sky,-37.6167,-73.65,Hostal Las Lilas
106,Goderich,CA,69.8,scattered clouds,43.7501,-81.7165,Harmony Inn
116,Manjacaze,MZ,69.46,few clouds,-24.7117,33.8828,Hotel Gani
118,Clarence Town,AU,64.0,scattered clouds,-32.5833,151.7833,River Downs Cottage
121,Teguise,ES,68.0,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
127,Kaitangata,NZ,52.0,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
129,Broken Hill,AU,60.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
131,Tura,IN,69.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
133,Pacific Grove,US,57.2,scattered clouds,36.6177,-121.9166,Lovers Point Inn
138,Taitung,TW,68.59,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
142,Kumluca,TR,62.11,clear sky,36.3703,30.2869,TurkuazKöy
144,Talkha,EG,62.37,broken clouds,31.0539,31.3779,Almadiafah
145,Vaini,TO,66.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
148,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Punto de encuentro
151,Kindersley,CA,55.4,few clouds,51.4668,-109.1682,Kindersley Inn
161,Hirara,JP,70.0,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
162,Dromolaxia,CY,68.0,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
164,Cranbrook,CA,50.0,broken clouds,49.4999,-115.7688,Almo Court Motel
165,Agara,GE,56.61,broken clouds,42.0376,43.8238,Silk Road Hotel
166,Syracuse,IT,66.2,scattered clouds,37.0881,15.2792,Hotel Posta
169,Naze,JP,61.56,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
174,Lagoa,PT,59.72,few clouds,39.05,-27.9833,Casa Das Faias
181,Vryburg,ZA,63.5,light rain,-26.9566,24.7284,Times Premier Lodge
182,Amaga,CO,69.8,broken clouds,6.04,-75.7031,La Menguante de Carrosa
191,Aksu,CN,53.67,light rain,41.1231,80.2644,Pudong Holiday Hotel
197,Mount Gambier,AU,51.8,scattered clouds,-37.8333,140.7667,Commodore on the Park
203,Poopo,BO,64.4,scattered clouds,-18.3667,-66.9667,turistico HOTEL
208,Zaragoza,ES,59.0,clear sky,41.6561,-0.8773,Hotel Goya
210,Fasa,IR,66.2,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
217,Lompoc,US,55.0,few clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
220,Coihaique,CL,53.6,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
229,Santa Barbara,US,69.01,clear sky,34.7333,-120.0343,Upper Ballard Campground
237,Nara,JP,51.01,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
246,Esperance,AU,62.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
249,Ponta Delgada,PT,59.0,broken clouds,37.7333,-25.6667,Vila Nova Hotel
251,Quba,AZ,58.73,overcast clouds,41.3626,48.5152,Quba Palace Hotel
258,Zhangye,CN,53.15,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
263,Saldanha,ZA,66.2,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
271,Meridian,US,63.0,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
273,Rio Gallegos,AR,57.2,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
276,Ancud,CL,61.0,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
286,Faya,SA,69.8,few clouds,18.3851,42.4509,مقبرة ال مجمل
288,Ponta Do Sol,PT,66.99,broken clouds,32.6667,-17.1,Hotel do Campo
295,Huescar,ES,54.0,overcast clouds,37.811,-2.5412,Hotel El Maño
298,Saint-Ambroise,CA,55.4,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
300,Mendi,PG,56.21,overcast clouds,-6.1761,143.6513,Kiburu Lodge
302,Ukiah,US,54.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
303,Comodoro Rivadavia,AR,69.8,broken clouds,-45.8667,-67.5,Austral Hotel
304,Muros,ES,63.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
307,Melito Di Porto Salvo,IT,57.2,broken clouds,37.9222,15.7714,B&B Nereidi
309,Andros,GR,62.01,scattered clouds,37.8333,24.9333,Micra Anglia Hotel - Andros
311,Shenjiamen,CN,53.51,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
316,Hami,CN,61.54,broken clouds,42.8,93.45,Laoyutang Resort
323,Lata,PT,68.0,clear sky,40.1629,-8.3327,Casa Maquia
329,Kisesa,TZ,66.72,overcast clouds,-3.0833,34.15,
330,Martinez,US,62.01,clear sky,38.0194,-122.1341,Best Western John Muir Inn
336,Carballo,ES,57.99,overcast clouds,43.213,-8.691,Pazo do Souto
339,Raton,US,62.01,clear sky,36.9034,-104.4391,Holiday Inn Express & Suites Raton
340,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
346,Laguna,US,62.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
347,Khonsa,IN,66.18,few clouds,27.0167,95.5667,
349,Vila Franca Do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
352,Kruisfontein,ZA,61.0,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
354,Amurrio,ES,51.01,clear sky,43.05,-3.0,Hotel Restaurante Aldama
370,Constitucion,CL,64.15,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
372,Bethel,US,66.99,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
376,Codrington,AU,55.98,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
391,Makakilo City,US,69.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
401,Yilan,TW,66.0,overcast clouds,24.756999999999998,121.75299999999999,Dar Chen Hotel
416,Aviles,ES,53.01,few clouds,43.5547,-5.9248,Hotel NH Collection Palacio de Avilés
417,Kamensk-Shakhtinskiy,RU,53.85,clear sky,48.3178,40.2595,Hostel 24
418,Enshi,CN,53.83,overcast clouds,30.3,109.4833,Moevenpick Enshi
423,Susanville,US,57.2,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
424,Lakes Entrance,AU,55.99,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
425,Abu Samrah,SY,69.01,broken clouds,35.3029,37.1841,
430,Burgos,ES,50.0,clear sky,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
434,Viedma,AR,68.02,overcast clouds,-40.8135,-62.9967,Hotel Cristal
436,Port Macquarie,AU,66.2,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
445,Cambridge,CA,64.99,clear sky,43.3601,-80.3127,Cambridge Gateway Suites
452,Yarmouth,US,53.6,overcast clouds,41.7057,-70.2286,Blue Rock Resort
454,Ajdabiya,LY,63.88,clear sky,30.7554,20.2263,Almadina Hotel
455,Komsomolskiy,UZ,55.4,scattered clouds,40.4272,71.7189,Ikathouse
466,Divnomorskoye,RU,51.42,clear sky,44.5011,38.1353,Primorskiy
471,Lavumisa,SZ,69.08,overcast clouds,-27.31,31.892,ROADSIDE B&B
472,Broome,US,66.99,scattered clouds,42.2506,-75.833,Chenango Valley State Park
475,Victor Harbor,AU,64.99,clear sky,-35.5667,138.6167,McCracken Country Club
486,Saint Anthony,US,68.0,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
489,Miles City,US,55.4,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
491,Korla,CN,58.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
492,Birin,NP,62.04,scattered clouds,26.8865,88.0718,Sangam hotel and lodge
494,Fereydun Kenar,IR,55.4,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
496,Kang,BW,65.1,broken clouds,-23.6752,22.7876,Kang Ultra Stop
501,Changqing,CN,55.0,overcast clouds,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
504,Mastic Beach,US,64.4,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
506,Port Lincoln,AU,68.16,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
513,Ahipara,NZ,57.81,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
515,Muroto,JP,58.48,few clouds,33.2833,134.15,Oota Ryokan
533,Whitefish,US,54.0,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
539,Leduc,CA,53.01,overcast clouds,53.2668,-113.552,Best Western Premier Denham Inn & Suites
541,Cedar City,US,62.01,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
545,Chegutu,ZW,66.09,clear sky,-18.1302,30.1407,Jacaranda Lodge
546,Thessalon,CA,57.2,clear sky,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
549,Makamba,BI,63.05,light rain,-4.1348,29.804000000000002,Inanzerwe Hotel
553,Bend,US,59.0,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
556,Tongren,CN,52.54,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
559,Xam Nua,LA,63.28,few clouds,20.4197,104.0439,Xee Wang Guesthouse
562,Katsuura,JP,53.01,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
563,Nishihara,JP,66.2,few clouds,26.1842,127.7558,Minshuku Agaihama
580,Albury,AU,60.01,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
582,Waitati,NZ,50.0,few clouds,-45.75,170.5667,Arden Country House BnB Dunedin
590,Hervey Bay,AU,68.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
591,Dunedin,NZ,50.0,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
594,Orumiyeh,IR,60.8,broken clouds,37.5527,45.0761,Urmia Kimia Mah Hotel
599,Mao,ES,50.0,clear sky,39.8885,4.2658,ARTIEM Capri
603,Chiredzi,ZW,68.4,clear sky,-21.05,31.6667,The Nesbitt Arms
611,Yulara,AU,66.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
613,Dauphin,CA,59.0,clear sky,51.1494,-100.0502,Canway Inn & Suites
625,Zonguldak,TR,53.11,few clouds,41.25,31.8333,Süleyman Tez Ev
628,Mwense,ZM,66.97,moderate rain,-10.3845,28.698,Mwense Council Guest House
631,Halifax,CA,57.2,broken clouds,44.6453,-63.5724,Hotel Halifax
633,Mahanje,TZ,65.5,light rain,-9.9333,35.3333,
637,San Quintin,MX,68.63,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
638,Beyneu,KZ,56.34,broken clouds,45.3167,55.2,NUR
643,Shelburne,CA,66.2,clear sky,44.0787,-80.2041,The Retreat at the Farm
645,Shelton,US,64.99,clear sky,41.3165,-73.0932,Hilton Garden Inn Shelton
647,Naron,ES,62.6,clear sky,43.5167,-8.1528,Marcial
649,Marolambo,MG,68.68,overcast clouds,-20.05,48.1167,local guide suport centre
652,Bingol,TR,55.08,few clouds,38.8847,40.4939,Vali Konağı
659,Haimen,CN,66.2,clear sky,23.1935,116.6142,Jinghao Business Hotel
667,Maneadero,MX,64.99,scattered clouds,31.7167,-116.5667,Casa De Thompson
670,Ninghai,CN,57.99,light rain,29.2892,121.4247,Kaiyuan New Century Hotel
675,Capreol,CA,63.0,broken clouds,46.706,-80.9225,
677,Chapais,CA,53.6,clear sky,49.7834,-74.8492,Hôtel Opémiska
679,Alice Springs,AU,60.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
680,Handan,CN,52.54,broken clouds,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
683,Bijie,CN,50.7,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
684,Makat,KZ,52.83,broken clouds,47.6469,53.3463,Umit
